S	V	G	A	gardon
Loir	1.8	0.09	1.13	0
Loir	1.52	-0.45	0.52	0
Loir	-0.32	-1	0.77	0
Loir	0.35	-0.83	0.67	0
Loir	0.58	-0.28	1.43	0
Loir	0.66	-0.08	1.21	0
Loir	1.37	-0.4	1.52	0
Loir	1.14	-1	1.57	0
Loir	1.32	-0.46	1.33	0
Loir	-0.99	0.86	0.02	1
Loir	-0.38	0.52	0.08	1
Loir	0.66	-0.9	0.57	0
Loir	0.42	-0.51	0.54	0
Loir	-0.84	0.02	0.4	1
Loir	0.1	-0.7	0.02	0
Loir	0.97	-0.64	0.11	0
Loir	0.38	-0.97	-0.03	0
Loir	-0.3	0.3	-0.25	0
Loir	0.46	-1.03	0.19	0
Loir	0.59	-1.08	-0.08	0
Loir	0.18	-0.56	-0.25	1
Loir	-0.32	-0.22	-0.11	0
Loir	-0.62	-0.03	-0.13	0
Loir	-0.99	0.45	-0.11	1
Loir	-1.3	0.68	-0.28	1
Loir	-0.61	0.01	-0.35	0
Loir	-1.25	0.92	-1.1	1
Loir	-1.66	2.6	-1.51	1
Loir	-1	0.1	-0.79	0
Loir	-1.2	1.56	-0.62	1
Loir	-0.78	3.02	-0.79	1
Loir	-1.7	0.06	-1.93	0
Loir	-0.81	-0.19	-0.14	0
Loir	-1.26	0.84	-1.11	1
Loir	-1.21	0.2	-0.76	0
Loir	-1.37	-1	0.02	1
Loir	0.37	-0.69	-0.44	1
Loir	-0.82	0.44	-0.62	1
Loir	-0.96	-0.22	0.17	1
Loir	-0.11	-1.1	0.3	0
Loir	-0.55	-0.24	-0.39	0
Loir	-0.48	-0.28	-0.54	0
Loir	-1.74	1.38	-0.35	1
Loir	-2.11	1.33	-0.79	1
Loir	-0.73	1.69	-0.76	1
Loir	-1.57	-0.19	-0.82	1
Loir	-0.97	-0.34	-0.54	0
Loir	-1.14	1.04	-0.82	1
Loir	-0.95	-0.15	-0.39	0
Loir	-0.31	-0.78	-0.47	0
Loir	0.27	2.94	-0.46	1
Loir	-1.76	1.15	-1.7	1
Loir	-0.41	-0.13	-0.46	0
Loir	-0.95	-0.42	-0.28	1
Loir	-1.14	-0.28	-0.27	0
Loir	-0.41	-0.74	-0.29	0
Loir	-1.96	0.33	-0.2	1
Loir	-0.21	-0.12	-0.05	1
Loir	0.1	0.26	-0.2	1
Loir	-0.92	2.25	-1.14	1
Loir	-1.66	0.41	-0.44	1
Loir	-1.41	0.99	-0.56	0
Loir	-1.11	1.87	-0.69	1
Garo	0.73	0.14	0.97	0
Garo	1.68	-0.99	1.73	0
Garo	0.27	0.51	0.38	0
Garo	2.13	-0.19	1.16	0
Garo	-1.09	0.92	0.17	1
Garo	0.49	-0.83	2.13	0
Garo	0.93	0.67	0.96	0
Garo	0.58	1.36	1.21	1
Garo	0.22	-0.34	0.67	0
Garo	0.22	-0.66	1.05	0
Garo	0	-0.97	1.16	0
Garo	1.36	-0.53	1.5	1
Garo	0.41	0.25	0.56	0
Garo	-0.56	2.16	-0.08	1
Garo	0.41	0.09	1.26	0
Garo	0.08	0.5	0.73	0
Garo	-0.86	0.98	0.58	0
Garo	0.37	0.42	0.62	0
Garo	0.03	-0.14	0.67	0
Garo	-1.16	0.6	-1.53	0
Garo	-1.94	0.64	-0.41	0
Garo	-0.89	0.45	-0.67	1
Garo	-2.22	1.58	-0.6	1
Garo	-0.59	0.66	-0.31	0
Garo	-0.85	0.94	-0.6	0
Garo	0.04	-0.06	-0.12	0
Garo	0.39	0.29	0.54	0
Garo	-0.19	0.5	0.36	0
Garo	0.74	1.01	0.67	0
Garo	0.36	-0.4	1.45	0
Garo	-1.38	1.84	-0.13	1
Garo	-0.37	2	-0.26	1
Garo	0.54	1.44	0.64	0
Garo	0.6	-1.3	-0.08	1
Garo	-0.76	0.2	-0.16	1
Garo	-1.09	0.98	-0.84	1
Garo	-0.51	1.33	-0.69	1
Garo	-0.51	0	-0.44	1
Garo	-1.14	0.15	-1.45	0
Garo	-2.66	0.43	-1.81	1
Garo	-1.44	1.69	-2.04	1
Garo	-1.38	1.42	-2	1
Garo	-0.42	-0.72	0.51	0
Garo	-0.58	0.67	-0.31	0
Garo	0.24	1.26	-0.25	1
Garo	0.53	0.44	0.02	0
Garo	0.09	0.58	0.22	0
Garo	0.22	-0.77	0.4	0
Garo	-0.54	1.7	-0.42	1
Garo	-0.01	0.12	-0.51	0
Garo	0.31	-0.32	0.08	0
Garo	0.78	0.31	-0.52	0
Garo	-3.46	-0.21	-0.39	0
Garo	-0.87	0.74	-0.72	1
Garo	-0.91	0.65	-1.45	1
Garo	0.46	0.64	-0.9	1
Garo	-2.21	2.29	-1.53	1
Garo	-0.53	1.58	-1.37	1
Garo	-1.27	0.36	-0.6	1
Garo	-0.96	1.05	-1.25	1
Garo	0.73	0.85	1.15	0
Garo	0.42	0.33	-0.08	1
Garo	0.7	-0.52	1.12	0
Garo	0.47	1.91	-0.28	1
Garo	0.85	-0.31	-0.03	0
Garo	-0.75	2.4	-0.76	1
Garo	-0.43	0.64	-0.75	1
Garo	0.81	-0.77	1.4	0
Garo	1.21	0.03	0.84	0
Garo	0.65	0.1	0.82	0
Garo	-0.02	0.27	1.07	0
Garo	-0.16	-0.52	1.01	0
Garo	0.85	0.05	1.46	0
Garo	0.71	-0.28	1.3	0
Garo	1.93	-0.2	1.45	0
Garo	0.22	-0.83	0.96	0
Garo	1.52	-0.67	0.06	0
Garo	1.21	-0.79	1.38	0
Garo	-1.58	-0.17	0.03	1
Garo	-0.68	0.45	0.96	0
Garo	2.41	-0.92	1.19	0
Garo	0.44	-1.92	1.77	0
Garo	1.81	-0.1	1.36	0
Garo	2.32	-1.85	1.41	0
Garo	2.23	-0.94	1.37	0
Garo	2.43	-1.4	1.4	0
Garo	1.24	-0.53	1.75	0
Garo	0.52	-0.19	1.65	0
Garo	0.63	0.02	1.58	0
Garo	1.65	-0.06	1.42	0
Garo	0.12	0.5	1.23	0
Garo	-0.94	0.95	1.12	0
Garo	1.48	0.49	1.26	0
Garo	0.31	0.67	1.18	0
Garo	0.89	-0.72	1.05	0
Garo	1.15	-0.89	1.15	0
Garo	0.63	0.07	1.56	0
Garo	0.76	-0.28	1.06	0
